"Name";"Edition";"Rarity";"Color";"Cost";"P/T";"Type";"Text";"Flavor"
"Rumbling Aftershocks";"WWK";"U";"R";"4R";"";"Enchantment";"Whenever you cast a kicked spell, you may have Rumbling Aftershocks deal damage to target creature or player equal to the number of times that spell was kicked.";""
"Quest for Renewal";"WWK";"U";"G";"1G";"";"Enchantment";"Whenever a creature you control becomes tapped, you may put a quest counter on Quest for Renewal.
As long as there are four or more quest counters on Quest for Renewal, untap all creatures you control during each other player’s untap step.";""
"Vapor Snare";"WWK";"U";"U";"4U";"";"Enchantment - Aura";"Enchant creature
You control enchanted creature.
At the beginning of your upkeep, sacrifice Vapor Snare unless you return a land you control to its owner’s hand.";""
"Chain Reaction";"WWK";"R";"R";"2RR";"";"Sorcery";"Chain Reaction deals X damage to each creature, where X is the number of creatures on the battlefield.";""
"Dispel";"WWK";"C";"U";"U";"";"Instant";"Counter target instant spell.";""
"Mysteries of the Deep";"WWK";"C";"U";"4U";"";"Instant";"Draw two cards.
#Landfall# — If you had a land enter the battlefield under your control this turn, draw three cards instead.";""
"Vicious Hunger";"DDD";"C";"B";"BB";"";"Sorcery";"Vicious Hunger deals 2 damage to target creature and you gain 2 life.";""
"Windstorm";"DDD";"U";"G";"XG";"";"Instant";"Windstorm deals X damage to each creature with flying.";""
"Cinder Marsh";"BRB";"U";"Lnd";"";"";"Land";"%T: Add %1 to your mana pool.
%T: Add %B or %R to your mana pool. Cinder Marsh doesn’t untap during your next untap step.";""
"Control Magic";"BRB";"U";"U";"2UU";"";"Enchantment - Aura";"Enchant creature
You control enchanted creature.";""
"Counterspell";"BRB";"C";"U";"UU";"";"Instant";"Counter target spell.";""
"Curfew";"BRB";"C";"U";"U";"";"Instant";"Each player returns a creature he or she controls to its owner’s hand.";""
"Dark Ritual";"BRB";"C";"B";"B";"";"Instant";"Add %B%B%B to your mana pool.";""
"Disenchant";"BRB";"C";"W";"1W";"";"Instant";"Destroy target artifact or enchantment.";""
"Drifting Meadow";"BRB";"C";"Lnd";"";"";"Land";"Drifting Meadow enters the battlefield tapped.
%T: Add %W to your mana pool.
Cycling %2 #(%2, Discard this card: Draw a card.)#";""
"Exhume";"BRB";"C";"B";"1B";"";"Sorcery";"Each player puts a creature card from his or her graveyard onto the battlefield.";""
"Fecundity";"BRB";"U";"G";"2G";"";"Enchantment";"Whenever a creature dies, that creature’s controller may draw a card.";""
"Fertile Ground";"BRB";"C";"G";"1G";"";"Enchantment - Aura";"Enchant land
Whenever enchanted land is tapped for mana, its controller adds one mana of any color to his or her mana pool #(in addition to the mana the land produces)#.";""
"Wooded Foothills";"JGC";"";"Lnd";"";"";"Land";"%T, Pay 1 life, Sacrifice Wooded Foothills: Search your library for a Mountain or Forest card and put it onto the battlefield. Then shuffle your library.";""
"Arc Lightning";"BRB";"C";"R";"2R";"";"Sorcery";"Arc Lightning deals 3 damage divided as you choose among one, two, or three target creatures and/or players.";""
"Bloodstained Mire";"JGC";"";"Lnd";"";"";"Land";"%T, Pay 1 life, Sacrifice Bloodstained Mire: Search your library for a Swamp or Mountain card and put it onto the battlefield. Then shuffle your library.";""
"Counterspell";"JGC";"";"U";"UU";"";"Instant";"Counter target spell.";""
"Cunning Wish";"JGC";"";"U";"2U";"";"Instant";"You may choose an instant card you own from outside the game, reveal that card, and put it into your hand. Exile Cunning Wish.";""
"Dark Ritual";"JGC";"";"B";"B";"";"Instant";"Add %B%B%B to your mana pool.";""
"Decree of Justice";"JGC";"";"W";"XX2WW";"";"Sorcery";"Put X 4/4 white Angel creature tokens with flying onto the battlefield.
Cycling %2%W #(%2%W, Discard this card: Draw a card.)#
When you cycle Decree of Justice, you may pay %X. If you do, put X 1/1 white Soldier creature tokens onto the battlefield.";""
"Demonic Tutor";"JGC";"";"B";"1B";"";"Sorcery";"Search your library for a card and put that card into your hand. Then shuffle your library.";""
"Island (2000)";"ARE";"";"Lnd";"";"";"Basic Land - Island";"";""
"Forest (2000)";"ARE";"";"Lnd";"";"";"Basic Land - Forest";"";""
"Bad Moon";"DDD";"R";"B";"1B";"";"Enchantment";"Black creatures get +1/+1.";""
"Beast Attack";"DDD";"U";"G";"2GGG";"";"Instant";"Put a 4/4 green Beast creature token onto the battlefield.
Flashback %2%G%G%G #(You may cast this card from your graveyard for its flashback cost. Then exile it.)#";""
"Corrupt";"DDD";"U";"B";"5B";"";"Sorcery";"Corrupt deals damage equal to the number of Swamps you control to target creature or player. You gain life equal to the damage dealt this way.";""
"Elephant Guide";"DDD";"U";"G";"2G";"";"Enchantment - Aura";"Enchant creature
Enchanted creature gets +3/+3.
When enchanted creature dies, put a 3/3 green Elephant creature token onto the battlefield.";""
"Enslave";"DDD";"U";"B";"4BB";"";"Enchantment - Aura";"Enchant creature
You control enchanted creature.
At the beginning of your upkeep, enchanted creature deals 1 damage to its owner.";""
"Forest (1)";"DDD";"C";"Lnd";"";"";"Basic Land - Forest";"";""
"Forest (2)";"DDD";"C";"Lnd";"";"";"Basic Land - Forest";"";""
"Forest (3)";"DDD";"C";"Lnd";"";"";"Basic Land - Forest";"";""
"Ancient Ziggurat";"H09";"U";"Lnd";"";"";"Land";"%T: Add one mana of any color to your mana pool. Spend this mana only to cast a creature spell.";""
"Aphetto Dredging";"H09";"C";"B";"3B";"";"Sorcery";"Return up to three target creature cards of the creature type of your choice from your graveyard to your hand.";""
"Coat of Arms";"H09";"R";"Art";"5";"";"Artifact";"Each creature gets +1/+1 for each other creature on the battlefield that shares at least one creature type with it. #(For example, if two Goblin Warriors and a Goblin Shaman are on the battlefield, each gets +2/+2.)#";""
"Distant Melody";"H09";"C";"U";"3U";"";"Sorcery";"Choose a creature type. Draw a card for each permanent you control of that type.";""
"Forest";"H09";"C";"Lnd";"";"";"Basic Land - Forest";"";""
"Plains (3)";"BRB";"C";"Lnd";"";"";"Basic Land - Plains";"";""
"Plains (6)";"BRB";"C";"Lnd";"";"";"Basic Land - Plains";"";""
"Plains (8)";"BRB";"C";"Lnd";"";"";"Basic Land - Plains";"";""
"Plains (9)";"BRB";"C";"Lnd";"";"";"Basic Land - Plains";"";""
"Plains (7)";"BRB";"C";"Lnd";"";"";"Basic Land - Plains";"";""
"Plains (2)";"BRB";"C";"Lnd";"";"";"Basic Land - Plains";"";""
"Plains (1)";"BRB";"C";"Lnd";"";"";"Basic Land - Plains";"";""
"Polluted Mire";"BRB";"C";"Lnd";"";"";"Land";"Polluted Mire enters the battlefield tapped.
%T: Add %B to your mana pool.
Cycling %2 #(%2, Discard this card: Draw a card.)#";""
"Ray of Command";"BRB";"C";"U";"3U";"";"Instant";"Untap target creature an opponent controls and gain control of it until end of turn. That creature gains haste until end of turn. When you lose control of the creature, tap it.";""
"Reanimate";"BRB";"U";"B";"B";"";"Sorcery";"Put target creature card from a graveyard onto the battlefield under your control. You lose life equal to its converted mana cost.";""
"Remote Isle";"BRB";"C";"Lnd";"";"";"Land";"Remote Isle enters the battlefield tapped.
%T: Add %U to your mana pool.
Cycling %2 #(%2, Discard this card: Draw a card.)#";""
"Rolling Thunder";"BRB";"C";"R";"XRR";"";"Sorcery";"Rolling Thunder deals X damage divided as you choose among any number of target creatures and/or players.";""
"Sadistic Glee";"BRB";"C";"B";"B";"";"Enchantment - Aura";"Enchant creature
Whenever a creature dies, put a +1/+1 counter on enchanted creature.";""
"Sandstorm";"BRB";"C";"G";"G";"";"Instant";"Sandstorm deals 1 damage to each attacking creature.";""
"Shower of Sparks";"BRB";"C";"R";"R";"";"Instant";"Shower of Sparks deals 1 damage to target creature and 1 damage to target player.";""
"Slippery Karst";"BRB";"C";"Lnd";"";"";"Land";"Slippery Karst enters the battlefield tapped.
%T: Add %G to your mana pool.
Cycling %2 #(%2, Discard this card: Draw a card.)#";""
"Steam Blast";"BRB";"U";"R";"2R";"";"Sorcery";"Steam Blast deals 2 damage to each creature and each player.";""
"Subversion";"BRB";"R";"B";"3BB";"";"Enchantment";"At the beginning of your upkeep, each opponent loses 1 life. You gain life equal to the life lost this way.";""
"Sun Clasp";"BRB";"C";"W";"1W";"";"Enchantment - Aura";"Enchant creature
Enchanted creature gets +1/+3.
%W: Return enchanted creature to its owner’s hand.";""
"Swamp (4)";"BRB";"C";"Lnd";"";"";"Basic Land - Swamp";"";""
"Swamp (3)";"BRB";"C";"Lnd";"";"";"Basic Land - Swamp";"";""
"Swamp (2)";"BRB";"C";"Lnd";"";"";"Basic Land - Swamp";"";""
"Swamp (1)";"BRB";"C";"Lnd";"";"";"Basic Land - Swamp";"";""
"Swords to Plowshares";"BRB";"U";"W";"W";"";"Instant";"Exile target creature. Its controller gains life equal to its power.";""
"Symbiosis";"BRB";"C";"G";"1G";"";"Instant";"Two target creatures each get +2/+2 until end of turn.";""
"Syphon Soul";"BRB";"C";"B";"2B";"";"Sorcery";"Syphon Soul deals 2 damage to each other player. You gain life equal to the damage dealt this way.";""
"Terror";"BRB";"C";"B";"1B";"";"Instant";"Destroy target nonartifact, nonblack creature. It can’t be regenerated.";""
"Thalakos Lowlands";"BRB";"U";"Lnd";"";"";"Land";"%T: Add %1 to your mana pool.
%T: Add %W or %U to your mana pool. Thalakos Lowlands doesn’t untap during your next untap step.";""
"Tranquility";"BRB";"C";"G";"2G";"";"Sorcery";"Destroy all enchantments.";""
"Unnerve";"BRB";"C";"B";"3B";"";"Sorcery";"Each opponent discards two cards.";""
"Vec Townships";"BRB";"U";"Lnd";"";"";"Land";"%T: Add %1 to your mana pool.
%T: Add %G or %W to your mana pool. Vec Townships doesn’t untap during your next untap step.";""
"Weakness";"BRB";"C";"B";"B";"";"Enchantment - Aura";"Enchant creature
Enchanted creature gets -2/-1.";""
"Windfall";"BRB";"U";"U";"2U";"";"Sorcery";"Each player discards his or her hand, then draws cards equal to the greatest number of cards a player discarded this way.";""
"Wrath of God";"BRB";"R";"W";"2WW";"";"Sorcery";"Destroy all creatures. They can’t be regenerated.";""
"Heartstone";"H09";"U";"Art";"3";"";"Artifact";"Activated abilities of creatures cost %1 less to activate. This effect can’t reduce the amount of mana an ability costs to activate to less than one mana.";""
"Island";"H09";"C";"Lnd";"";"";"Basic Land - Island";"";""
"Mountain";"H09";"C";"Lnd";"";"";"Basic Land - Mountain";"";""
"Plains";"H09";"C";"Lnd";"";"";"Basic Land - Plains";"";""
"Rootbound Crag";"H09";"R";"Lnd";"";"";"Land";"Rootbound Crag enters the battlefield tapped unless you control a Mountain or a Forest.
%T: Add %R or %G to your mana pool.";""
"Rupture Spire";"H09";"C";"Lnd";"";"";"Land";"Rupture Spire enters the battlefield tapped.
When Rupture Spire enters the battlefield, sacrifice it unless you pay %1.
%T: Add one mana of any color to your mana pool.";""
"Swamp";"H09";"C";"Lnd";"";"";"Basic Land - Swamp";"";""
"Terramorphic Expanse";"H09";"C";"Lnd";"";"";"Land";"%T, Sacrifice Terramorphic Expanse: Search your library for a basic land card and put it onto the battlefield tapped. Then shuffle your library.";""
"Gaea's Cradle";"JGC";"";"Lnd";"";"";"Legendary Land";"%T: Add %G to your mana pool for each creature you control.";""
"Brink of Disaster";"WWK";"C";"B";"2BB";"";"Enchantment - Aura";"Enchant creature or land
When enchanted permanent becomes tapped, destroy it.";""
"Mire's Toll";"WWK";"C";"B";"B";"";"Sorcery";"Target player reveals a number of cards from his or her hand equal to the number of Swamps you control. You choose one of them. That player discards that card.";""
"Terra Eternal";"WWK";"R";"W";"2W";"";"Enchantment";"All lands are indestructible.";""
"Slingbow Trap";"WWK";"U";"G";"3G";"";"Instant - Trap";"If a black creature with flying is attacking, you may pay %G rather than pay Slingbow Trap’s mana cost.
Destroy target attacking creature with flying.";""
"Treasure Hunt";"WWK";"C";"U";"1U";"";"Sorcery";"Reveal cards from the top of your library until you reveal a nonland card, then put all cards revealed this way into your hand.";""
"Celestial Colonnade";"WWK";"R";"Lnd";"";"";"Land";"Celestial Colonnade enters the battlefield tapped.
%T: Add %W or %U to your mana pool.
%3%W%U: Until end of turn, Celestial Colonnade becomes a 4/4 white and blue Elemental creature with flying and vigilance. It’s still a land.";""
"Stirring Wildwood";"WWK";"R";"Lnd";"";"";"Land";"Stirring Wildwood enters the battlefield tapped.
%T: Add %G or %W to your mana pool.
%1%G%W: Until end of turn, Stirring Wildwood becomes a 3/4 green and white Elemental creature with reach. It’s still a land.";""
"Razor Boomerang";"WWK";"U";"Art";"3";"";"Artifact - Equipment";"Equipped creature has “%T, Unattach Razor Boomerang: Razor Boomerang deals 1 damage to target creature or player. Return Razor Boomerang to its owner’s hand.”
Equip %2";""
"Seer's Sundial";"WWK";"R";"Art";"4";"";"Artifact";"#Landfall# — Whenever a land enters the battlefield under your control, you may pay %2. If you do, draw a card.";""
"Permafrost Trap";"WWK";"U";"U";"2UU";"";"Instant - Trap";"If an opponent had a green creature enter the battlefield under his or her control this turn, you may pay %U rather than pay Permafrost Trap’s mana cost.
Tap up to two target creatures. Those creatures don’t untap during their controller’s next untap step.";""
"Basilisk Collar";"WWK";"R";"Art";"1";"";"Artifact - Equipment";"Equipped creature has deathtouch and lifelink.
Equip %2";""
"Bojuka Bog";"WWK";"C";"Lnd";"";"";"Land";"Bojuka Bog enters the battlefield tapped.
When Bojuka Bog enters the battlefield, exile all cards from target player’s graveyard.
%T: Add %B to your mana pool.";""
"Polluted Mire";"DDD";"C";"Lnd";"";"";"Land";"Polluted Mire enters the battlefield tapped.
%T: Add %B to your mana pool.
Cycling %2 #(%2, Discard this card: Draw a card.)#";""
"Rancor";"DDD";"C";"G";"G";"";"Enchantment - Aura";"Enchant creature
Enchanted creature gets +2/+0 and has trample.
When Rancor is put into a graveyard from the battlefield, return Rancor to its owner’s hand.";""
"Rise from the Grave";"DDD";"U";"B";"4B";"";"Sorcery";"Put target creature card from a graveyard onto the battlefield under your control. That creature is a black Zombie in addition to its other colors and types.";""
"Rude Awakening";"DDD";"R";"G";"4G";"";"Sorcery";"Choose one — Untap all lands you control; or until end of turn, lands you control become 2/2 creatures that are still lands.
Entwine %2%G #(Choose both if you pay the entwine cost.)#";""
"Serrated Arrows";"DDD";"C";"Art";"4";"";"Artifact";"Serrated Arrows enters the battlefield with three arrowhead counters on it.
At the beginning of your upkeep, if there are no arrowhead counters on Serrated Arrows, sacrifice it.
%T, Remove an arrowhead counter from Serrated Arrows: Put a -1/-1 counter on target creature.";""
"Sign in Blood";"DDD";"C";"B";"BB";"";"Sorcery";"Target player draws two cards and loses 2 life.";""
"Slippery Karst";"DDD";"C";"Lnd";"";"";"Land";"Slippery Karst enters the battlefield tapped.
%T: Add %G to your mana pool.
Cycling %2 #(%2, Discard this card: Draw a card.)#";""
"Flood";"BRB";"C";"U";"U";"";"Enchantment";"%U%U: Tap target creature without flying.";""
"Forest (7)";"BRB";"C";"Lnd";"";"";"Basic Land - Forest";"";""
"Forest (8)";"BRB";"C";"Lnd";"";"";"Basic Land - Forest";"";""
"Forest (9)";"BRB";"C";"Lnd";"";"";"Basic Land - Forest";"";""
"Forest (4)";"BRB";"C";"Lnd";"";"";"Basic Land - Forest";"";""
"Forest (5)";"BRB";"C";"Lnd";"";"";"Basic Land - Forest";"";""
"Forest (6)";"BRB";"C";"Lnd";"";"";"Basic Land - Forest";"";""
"Forest (3)";"BRB";"C";"Lnd";"";"";"Basic Land - Forest";"";""
"Forest (1)";"BRB";"C";"Lnd";"";"";"Basic Land - Forest";"";""
"Forest (2)";"BRB";"C";"Lnd";"";"";"Basic Land - Forest";"";""
"Giant Growth";"BRB";"C";"G";"G";"";"Instant";"Target creature gets +3/+3 until end of turn.";""
"Healing Salve";"BRB";"C";"W";"W";"";"Instant";"Choose one — Target player gains 3 life; or prevent the next 3 damage that would be dealt to target creature or player this turn.";""
"Heat Ray";"BRB";"C";"R";"XR";"";"Instant";"Heat Ray deals X damage to target creature.";""
"Hurricane";"BRB";"U";"G";"XG";"";"Sorcery";"Hurricane deals X damage to each creature with flying and each player.";""
"Island (5)";"BRB";"C";"Lnd";"";"";"Basic Land - Island";"";""
"Island (4)";"BRB";"C";"Lnd";"";"";"Basic Land - Island";"";""
"Island (3)";"BRB";"C";"Lnd";"";"";"Basic Land - Island";"";""
"Island (2)";"BRB";"C";"Lnd";"";"";"Basic Land - Island";"";""
"Island (1)";"BRB";"C";"Lnd";"";"";"Basic Land - Island";"";""
"Land Tax";"BRB";"U";"W";"W";"";"Enchantment";"At the beginning of your upkeep, if an opponent controls more lands than you, you may search your library for up to three basic land cards, reveal them, and put them into your hand. If you do, shuffle your library.";""
"Feral Contest";"WWK";"C";"G";"3G";"";"Sorcery";"Put a +1/+1 counter on target creature you control. Another target creature blocks it this turn if able.";""
"Nature's Claim";"WWK";"C";"G";"G";"";"Instant";"Destroy target artifact or enchantment. Its controller gains 4 life.";""
"Forest (4)";"DDD";"C";"Lnd";"";"";"Basic Land - Forest";"";""
"Genju of the Cedars";"DDD";"U";"G";"G";"";"Enchantment - Aura";"Enchant Forest
%2: Enchanted Forest becomes a 4/4 green Spirit creature until end of turn. It’s still a land.
When enchanted Forest is put into a graveyard, you may return Genju of the Cedars from your graveyard to your hand.";""
"Genju of the Fens";"DDD";"U";"B";"B";"";"Enchantment - Aura";"Enchant Swamp
%2: Until end of turn, enchanted Swamp becomes a 2/2 black Spirit creature with “%B: This creature gets +1/+1 until end of turn.” It’s still a land.
When enchanted Swamp is put into a graveyard, you may return Genju of the Fens from your graveyard to your hand.";""
"Giant Growth";"DDD";"C";"G";"G";"";"Instant";"Target creature gets +3/+3 until end of turn.";""
"Harmonize";"DDD";"U";"G";"2GG";"";"Sorcery";"Draw three cards.";""
"Hideous End";"DDD";"C";"B";"1BB";"";"Instant";"Destroy target nonblack creature. Its controller loses 2 life.";""
"Ichor Slick";"DDD";"C";"B";"2B";"";"Sorcery";"Target creature gets -3/-3 until end of turn.
Cycling %2 #(%2, Discard this card: Draw a card.)#
Madness %3%B #(If you discard this card, you may cast it for its madness cost instead of putting it into your graveyard.)#";""
"Invigorate";"DDD";"C";"G";"2G";"";"Instant";"If you control a Forest, rather than pay Invigorate’s mana cost, you may have an opponent gain 3 life.
Target creature gets +4/+4 until end of turn.";""
"Lignify";"DDD";"C";"G";"1G";"";"Tribal Enchantment - Treefolk Aura";"Enchant creature
Enchanted creature is a 0/4 Treefolk with no abilities.";""
"Hammer of Bogardan";"JGC";"";"R";"1RR";"";"Sorcery";"Hammer of Bogardan deals 3 damage to target creature or player.
%2%R%R%R: Return Hammer of Bogardan from your graveyard to your hand. Activate this ability only during your upkeep.";""
"Intuition";"JGC";"";"U";"2U";"";"Instant";"Search your library for three cards and reveal them. Target opponent chooses one. Put that card into your hand and the rest into your graveyard. Then shuffle your library.";""
"Lightning Bolt";"JGC";"";"R";"R";"";"Instant";"Lightning Bolt deals 3 damage to target creature or player.";""
"Living Death";"JGC";"";"B";"3BB";"";"Sorcery";"Each player exiles all creature cards from his or her graveyard, then sacrifices all creatures he or she controls, then puts all cards he or she exiled this way onto the battlefield.";""
"Living Wish";"JGC";"";"G";"1G";"";"Sorcery";"You may choose a creature or land card you own from outside the game, reveal that card, and put it into your hand. Exile Living Wish.";""
"Maze of Ith";"JGC";"";"Lnd";"";"";"Land";"%T: Untap target attacking creature. Prevent all combat damage that would be dealt to and dealt by that creature this turn.";""
"Memory Lapse";"JGC";"";"U";"1U";"";"Instant";"Counter target spell. If that spell is countered this way, put it on top of its owner’s library instead of into that player’s graveyard.";""
"Mind's Desire";"JGC";"";"U";"4UU";"";"Sorcery";"Shuffle your library. Then exile the top card of your library. Until end of turn, you may play that card without paying its mana cost. #(If it has X in its mana cost, X is 0.)#
Storm #(When you cast this spell, copy it for each spell cast before it this turn.)#";""
"Oath of Druids";"JGC";"";"G";"1G";"";"Enchantment";"At the beginning of each player’s upkeep, that player chooses target player who controls more creatures than he or she does and is his or her opponent. The first player may reveal cards from the top of his or her library until he or she reveals a creature card. If he or she does, that player puts that card onto the battlefield and all other cards revealed this way into his or her graveyard.";""
"Orim's Chant";"JGC";"";"W";"W";"";"Instant";"Kicker %W #(You may pay an additional %W as you cast this spell.)#
Target player can’t cast spells this turn.
If Orim’s Chant was kicked, creatures can’t attack this turn.";""
"Pernicious Deed";"JGC";"";"Gld";"1BG";"";"Enchantment";"%X, Sacrifice Pernicious Deed: Destroy each artifact, creature, and enchantment with converted mana cost X or less.";""
"Stifle";"JGC";"";"U";"U";"";"Instant";"Counter target activated or triggered ability. #(Mana abilities can’t be targeted.)#";""
"Stroke of Genius";"JGC";"";"U";"X2U";"";"Instant";"Target player draws X cards.";""
"Vampiric Tutor";"JGC";"";"B";"B";"";"Instant";"Search your library for a card, then shuffle your library and put that card on top of it. You lose 2 life.";""
"Vindicate";"JGC";"";"Gld";"1WB";"";"Sorcery";"Destroy target permanent.";""
"Windswept Heath";"JGC";"";"Lnd";"";"";"Land";"%T, Pay 1 life, Sacrifice Windswept Heath: Search your library for a Forest or Plains card and put it onto the battlefield. Then shuffle your library.";""
"Bestial Menace";"WWK";"U";"G";"3GG";"";"Sorcery";"Put a 1/1 green Snake creature token, a 2/2 green Wolf creature token, and a 3/3 green Elephant creature token onto the battlefield.";""
"Sejiri Steppe";"WWK";"C";"Lnd";"";"";"Land";"Sejiri Steppe enters the battlefield tapped.
When Sejiri Steppe enters the battlefield, target creature you control gains protection from the color of your choice until end of turn.
%T: Add %W to your mana pool.";""
"Selective Memory";"WWK";"R";"U";"3U";"";"Sorcery";"Search your library for any number of nonland cards and exile them. Then shuffle your library.";""
"Groundswell";"WWK";"C";"G";"G";"";"Instant";"Target creature gets +2/+2 until end of turn.
#Landfall# — If you had a land enter the battlefield under your control this turn, that creature gets +4/+4 until end of turn instead.";""
"Bull Rush";"WWK";"C";"R";"R";"";"Instant";"Target creature gets +2/+0 until end of turn.";""
"Strength of the Tajuru";"WWK";"R";"G";"XGG";"";"Instant";"Multikicker %1 #(You may pay an additional %1 any number of times as you cast this spell.)#
Choose target creature, then choose another target creature for each time Strength of the Tajuru was kicked. Put X +1/+1 counters on each of them.";""
"Kitesail";"WWK";"C";"Art";"2";"";"Artifact - Equipment";"Equipped creature gets +1/+0 and has flying.
Equip %2 #(%2: Attach to target creature you control. Equip only as a sorcery.)#";""
"Mutilate";"DDD";"R";"B";"2BB";"";"Sorcery";"All creatures get -1/-1 until end of turn for each Swamp you control.";""
"Nature's Lore";"DDD";"C";"G";"1G";"";"Sorcery";"Search your library for a Forest card and put that card onto the battlefield. Then shuffle your library.";""
"Overrun";"DDD";"U";"G";"2GGG";"";"Sorcery";"Creatures you control get +3/+3 and gain trample until end of turn.";""
"Living Death";"BRB";"R";"B";"3BB";"";"Sorcery";"Each player exiles all creature cards from his or her graveyard, then sacrifices all creatures he or she controls, then puts all cards he or she exiled this way onto the battlefield.";""
"Mana Leak";"BRB";"C";"U";"1U";"";"Instant";"Counter target spell unless its controller pays %3.";""
"Maniacal Rage";"BRB";"C";"R";"1R";"";"Enchantment - Aura";"Enchant creature
Enchanted creature gets +2/+2 and can’t block.";""
"Mogg Hollows";"BRB";"U";"Lnd";"";"";"Land";"%T: Add %1 to your mana pool.
%T: Add %R or %G to your mana pool. Mogg Hollows doesn’t untap during your next untap step.";""
"Mountain (9)";"BRB";"C";"Lnd";"";"";"Basic Land - Mountain";"";""
"Mountain (8)";"BRB";"C";"Lnd";"";"";"Basic Land - Mountain";"";""
"Mountain (7)";"BRB";"C";"Lnd";"";"";"Basic Land - Mountain";"";""
"Mountain (6)";"BRB";"C";"Lnd";"";"";"Basic Land - Mountain";"";""
"Mountain (4)";"BRB";"C";"Lnd";"";"";"Basic Land - Mountain";"";""
"Mountain (3)";"BRB";"C";"Lnd";"";"";"Basic Land - Mountain";"";""
"Mountain (2)";"BRB";"C";"Lnd";"";"";"Basic Land - Mountain";"";""
"Mountain (5)";"BRB";"C";"Lnd";"";"";"Basic Land - Mountain";"";""
"Mountain (1)";"BRB";"C";"Lnd";"";"";"Basic Land - Mountain";"";""
"Opportunity";"BRB";"U";"U";"4UU";"";"Instant";"Target player draws four cards.";""
"Pacifism";"BRB";"C";"W";"1W";"";"Enchantment - Aura";"Enchant creature
Enchanted creature can’t attack or block.";""
"Pestilence";"BRB";"U";"B";"2BB";"";"Enchantment";"At the beginning of the end step, if no creatures are on the battlefield, sacrifice Pestilence.
%B: Pestilence deals 1 damage to each creature and each player.";""
"Plains (4)";"BRB";"C";"Lnd";"";"";"Basic Land - Plains";"";""
"Plains (5)";"BRB";"C";"Lnd";"";"";"Basic Land - Plains";"";""
"Lava Axe";"GTW";"";"R";"4R";"";"Sorcery";"Lava Axe deals 5 damage to target player.";""
"Gifts Given";"HHL";"";"U";"3U";"";"Instant";"Search target opponent’s library for four cards with different names and reveal them. That player chooses two of those cards. Put the chosen cards into the player’s graveyard and the rest into your hand. Then that player shuffles his or her library.";""
"Evil Presents";"HHL";"";"B";"2BB";"";"Sorcery";"Put a creature card from your hand into play under target opponent’s control. That creature attacks each turn if able . . . and always attacks its controller.";""
"Season's Beatings";"HHL";"";"R";"RRRR";"";"Sorcery";"#Family gathering# — Each creature target player controls deals damage equal to its power to another random creature that player controls.";""
"Claws of Valakut";"WWK";"C";"R";"1RR";"";"Enchantment - Aura";"Enchant creature
Enchanted creature gets +1/+0 for each Mountain you control and has first strike.";""
"Canopy Cover";"WWK";"U";"G";"1G";"";"Enchantment - Aura";"Enchant creature
Enchanted creature can’t be blocked except by creatures with flying or reach.
Enchanted creature can’t be the target of spells or abilities your opponents control.";""
"Tomb Hex";"WWK";"C";"B";"2B";"";"Instant";"Target creature gets -2/-2 until end of turn.
#Landfall# — If you had a land enter the battlefield under your control this turn, that creature gets -4/-4 until end of turn instead.";""
"Ricochet Trap";"WWK";"U";"R";"3R";"";"Instant - Trap";"If an opponent cast a blue spell this turn, you may pay %R rather than pay Ricochet Trap’s mana cost.
Change the target of target spell with a single target.";""
"Rest for the Weary";"WWK";"C";"W";"1W";"";"Instant";"Target player gains 4 life.
#Landfall# — If you had a land enter the battlefield under your control this turn, that player gains 8 life instead.";""
"Searing Blaze";"WWK";"C";"R";"RR";"";"Instant";"Searing Blaze deals 1 damage to target player and 1 damage to target creature that player controls.
#Landfall# — If you had a land enter the battlefield under your control this turn, Searing Blaze deals 3 damage to that player and 3 damage to that creature instead.";""
"Eye of Ugin";"WWK";"M";"Lnd";"";"";"Legendary Land";"Colorless Eldrazi spells you cast cost %2 less to cast.
%7, %T: Search your library for a colorless creature card, reveal it, and put it into your hand. Then shuffle your library.";""
"Dread Statuary";"WWK";"U";"Lnd";"";"";"Land";"%T: Add %1 to your mana pool.
%4: Dread Statuary becomes a 4/2 Golem artifact creature until end of turn. It’s still a land.";""
"Creeping Tar Pit";"WWK";"R";"Lnd";"";"";"Land";"Creeping Tar Pit enters the battlefield tapped.
%T: Add %U or %B to your mana pool.
%1%U%B: Until end of turn, Creeping Tar Pit becomes a 3/2 blue and black Elemental creature and is unblockable. It’s still a land.";""
"Quest for the Goblin Lord";"WWK";"U";"R";"R";"";"Enchantment";"Whenever a Goblin enters the battlefield under your control, you may put a quest counter on Quest for the Goblin Lord.
As long as Quest for the Goblin Lord has five or more quest counters on it, creatures you control get +2/+0.";""
"Urge to Feed";"WWK";"U";"B";"BB";"";"Instant";"Target creature gets -3/-3 until end of turn. You may tap any number of untapped Vampire creatures you control. If you do, put a +1/+1 counter on each of those Vampires.";""
"Guardian Zendikon";"WWK";"C";"W";"2W";"";"Enchantment - Aura";"Enchant land
Enchanted land is a 2/6 white Wall creature with defender. It’s still a land.
When enchanted land dies, return that card to its owner’s hand.";""
"Corrupted Zendikon";"WWK";"C";"B";"1B";"";"Enchantment - Aura";"Enchant land
Enchanted land is a 3/3 black Ooze creature. It’s still a land.
When enchanted land dies, return that card to its owner’s hand.";""
