Name	Edition	Rarity	Cost	P/T	Type	Text	Flavor
Flowstone Giant	TE	C	2RR	3/3	Creature - Giant	%R: Flowstone Giant gets +2/-2 until end of turn.	
Flowstone Hellion	SH	U	4R	3/3	Creature - Hellion Beast	"Haste
%0: Flowstone Hellion gets +1/-1 until end of turn."	
Flowstone Mauler	SH	R	4RR	4/5	Creature - Beast	"Trample
%R: Flowstone Mauler gets +1/-1 until end of turn."	
Flowstone Overseer	NE	R	2RRR	4/4	Creature - Beast	%R%R: Target creature gets +1/-1 until end of turn.	
Flowstone Salamander	TE	U	3RR	3/4	Creature - Salamander	%R: Flowstone Salamander deals 1 damage to target creature blocking it.	
Flowstone Sculpture	TE	R	6	4/4	Artifact Creature - Shapeshifter	%2, Discard a card: Put a +1/+1 counter on Flowstone Sculpture or Flowstone Sculpture gains flying, first strike, or trample. #(This effect lasts indefinitely.)#	
Flowstone Shambler	SH	C	2R	2/2	Creature - Beast	%R: Flowstone Shambler gets +1/-1 until end of turn.	
Flowstone Shambler	9	C	2R	2/2	Creature - Beast	%R: Flowstone Shambler gets +1/-1 until end of turn.	
Flowstone Thopter	NE	U	7	4/4	Artifact Creature - Thopter	%1: Flowstone Thopter gets +1/-1 and gains flying until end of turn.	
Flowstone Wall	NE	C	2R	0/6	Creature - Wall	"Defender #(This creature canﾒt attack.)#
%R: Flowstone Wall gets +1/-1 until end of turn."	
Flowstone Wyvern	TE	R	3RR	3/3	Creature - Drake	"Flying
%R: Flowstone Wyvern gets +2/-2 until end of turn."	
Flying Men	TSB	R	U	1/1	Creature - Human	Flying	
Flying Men	AN	C	U	1/1	Creature - Human	Flying	
Fog Bank	US	U	1U	0/2	Creature - Wall	"Defender #(This creature canﾒt attack.)#
Flying
Prevent all combat damage that would be dealt to and dealt by Fog Bank."	
Fog Bank	M13	U	1U	0/2	Creature - Wall	"Defender #(This creature canﾒt attack.)#
Flying
Prevent all combat damage that would be dealt to and dealt by Fog Bank."	
Fog Bank	CMD	U	1U	0/2	Creature - Wall	"Defender #(This creature canﾒt attack.)#
Flying
Prevent all combat damage that would be dealt to and dealt by Fog Bank."	
Fog Elemental	6	C	2U	4/4	Creature - Elemental	"Flying #(This creature canﾒt be blocked except by creatures with flying or reach.)#
When Fog Elemental attacks or blocks, sacrifice it at end of combat."	
Fog Elemental	WL	C	2U	4/4	Creature - Elemental	"Flying #(This creature canﾒt be blocked except by creatures with flying or reach.)#
When Fog Elemental attacks or blocks, sacrifice it at end of combat."	
Fog Elemental	10	U	2U	4/4	Creature - Elemental	"Flying #(This creature canﾒt be blocked except by creatures with flying or reach.)#
When Fog Elemental attacks or blocks, sacrifice it at end of combat."	
Fog Elemental	BD	C	2U	4/4	Creature - Elemental	"Flying #(This creature canﾒt be blocked except by creatures with flying or reach.)#
When Fog Elemental attacks or blocks, sacrifice it at end of combat."	
Fog of Gnats	UL	C	BB	1/1	Creature - Insect	"Flying
%B: Regenerate Fog of Gnats."	
Folk of An-Havva (1)	HL	C	G	1/1	Creature - Human	Whenever Folk of An-Havva blocks, it gets +2/+0 until end of turn.	
Folk of An-Havva (2)	HL	C	G	1/1	Creature - Human	Whenever Folk of An-Havva blocks, it gets +2/+0 until end of turn.	
Folk of the Pines	IA	C	4G	2/5	Creature - Dryad	%1%G: Folk of the Pines gets +1/+0 until end of turn.	
Folk of the Pines	DM	C	4G	2/5	Creature - Dryad	%1%G: Folk of the Pines gets +1/+0 until end of turn.	
Fomori Nomad	FUT	C	4R	4/4	Creature - Nomad Giant		
Foot Soldiers	ST	C	3W	2/4	Creature - Human Soldier		Infantry deployment is the art of putting your troops in the wrong place at the right time.
Foot Soldiers	PT	C	3W	2/4	Creature - Human Soldier		Infantry deployment is the art of putting your troops in the wrong place at the right time.
Foot Soldiers	9	C	3W	2/4	Creature - Human Soldier		Infantry deployment is the art of putting your troops in the wrong place at the right time.
Foothill Guide	ON	C	W	1/1	Creature - Human Cleric	"Protection from Goblins
Morph %W #(You may cast this face down as a 2/2 creature for %3. Turn it face up any time for its morph cost.)#"	
Foratog	MI	U	2G	1/2	Creature - Atog	%G, Sacrifice a forest: Foratog gets +2/+2 until end of turn.	
Foratog	8	U	2G	1/2	Creature - Atog	%G, Sacrifice a forest: Foratog gets +2/+2 until end of turn.	
Force of Nature	5	R	2GGGG	8/8	Creature - Elemental	"Trample #(If this creature would assign enough damage to its blockers to destroy them, you may have it assign the rest of its damage to defending player or planeswalker.)#
At the beginning of your upkeep, Force of Nature deals 8 damage to you unless you pay %G%G%G%G."	
Force of Nature	B	R	2GGGG	8/8	Creature - Elemental	"Trample #(If this creature would assign enough damage to its blockers to destroy them, you may have it assign the rest of its damage to defending player or planeswalker.)#
At the beginning of your upkeep, Force of Nature deals 8 damage to you unless you pay %G%G%G%G."	
Force of Nature	4	R	2GGGG	8/8	Creature - Elemental	"Trample #(If this creature would assign enough damage to its blockers to destroy them, you may have it assign the rest of its damage to defending player or planeswalker.)#
At the beginning of your upkeep, Force of Nature deals 8 damage to you unless you pay %G%G%G%G."	
Force of Nature	A	R	2GGGG	8/8	Creature - Elemental	"Trample #(If this creature would assign enough damage to its blockers to destroy them, you may have it assign the rest of its damage to defending player or planeswalker.)#
At the beginning of your upkeep, Force of Nature deals 8 damage to you unless you pay %G%G%G%G."	
Force of Nature	R	R	2GGGG	8/8	Creature - Elemental	"Trample #(If this creature would assign enough damage to its blockers to destroy them, you may have it assign the rest of its damage to defending player or planeswalker.)#
At the beginning of your upkeep, Force of Nature deals 8 damage to you unless you pay %G%G%G%G."	
Force of Nature	REL		2GGGG	8/8	Creature - Elemental	"Trample #(If this creature would assign enough damage to its blockers to destroy them, you may have it assign the rest of its damage to defending player or planeswalker.)#
At the beginning of your upkeep, Force of Nature deals 8 damage to you unless you pay %G%G%G%G."	
Force of Nature	9	R	2GGGG	8/8	Creature - Elemental	"Trample #(If this creature would assign enough damage to its blockers to destroy them, you may have it assign the rest of its damage to defending player or planeswalker.)#
At the beginning of your upkeep, Force of Nature deals 8 damage to you unless you pay %G%G%G%G."	
Force of Nature	U	R	2GGGG	8/8	Creature - Elemental	"Trample #(If this creature would assign enough damage to its blockers to destroy them, you may have it assign the rest of its damage to defending player or planeswalker.)#
At the beginning of your upkeep, Force of Nature deals 8 damage to you unless you pay %G%G%G%G."	
Force of Nature	BD	R	2GGGG	8/8	Creature - Elemental	"Trample #(If this creature would assign enough damage to its blockers to destroy them, you may have it assign the rest of its damage to defending player or planeswalker.)#
At the beginning of your upkeep, Force of Nature deals 8 damage to you unless you pay %G%G%G%G."	
Force of Savagery	FUT	R	2G	8/0	Creature - Elemental	Trample	
Forcemage Advocate	JU	U	1G	2/1	Creature - Centaur Shaman	%T: Return target card from an opponentﾒs graveyard to his or her hand. Put a +1/+1 counter on target creature.	
Forest Bear	P3	C	1G	2/2	Creature - Bear		"Fish and bear pawsﾗone canﾒt have both.
- Chinese idiom meaning ﾓyou canﾒt have it both waysﾔ"
Forge Devil	DKA	C	R	1/1	Creature - Devil	When Forge Devil enters the battlefield, it deals 1 damage to target creature and 1 damage to you.	
Forgotten Ancient	ARC	R	3G	0/3	Creature - Elemental	"Whenever a player casts a spell, you may put a +1/+1 counter on Forgotten Ancient.
At the beginning of your upkeep, you may move any number of +1/+1 counters from Forgotten Ancient onto other creatures."	
Forgotten Ancient	HOP	R	3G	0/3	Creature - Elemental	"Whenever a player casts a spell, you may put a +1/+1 counter on Forgotten Ancient.
At the beginning of your upkeep, you may move any number of +1/+1 counters from Forgotten Ancient onto other creatures."	
Forgotten Ancient	SC	R	3G	0/3	Creature - Elemental	"Whenever a player casts a spell, you may put a +1/+1 counter on Forgotten Ancient.
At the beginning of your upkeep, you may move any number of +1/+1 counters from Forgotten Ancient onto other creatures."	
Foriysian Brigade	WL	U	3W	2/4	Creature - Human Soldier	Foriysian Brigade can block an additional creature.	
Foriysian Interceptor	TSP	C	3W	0/5	Creature - Human Soldier	"Flash #(You may cast this spell any time you could cast an instant.)#
Defender
Foriysian Interceptor can block an additional creature."	
Forked-Branch Garami	BOK	U	3GG	4/4	Creature - Spirit	Soulshift 4, soulshift 4 #(When this creature dies, you may return up to two target Spirit cards with converted mana cost 4 or less from your graveyard to your hand.)#	
Fortress Crab	ISD	C	3U	1/6	Creature - Crab		Unbreakable and unappetizing, the crab grows uninterrupted, sometimes to the size of a cottage and beyond.
Fortress Cyclops	GTC	U	3RW	3/3	Creature - Cyclops Soldier	"Whenever Fortress Cyclops attacks, it gets +3/+0 until end of turn.
Whenever Fortress Cyclops blocks, it gets +0/+3 until end of turn."	
Fortune Thief	TSP	R	4R	0/1	Creature - Human Rogue	"Damage that would reduce your life total to less than 1 reduces it to 1 instead.
Morph %R%R #(You may cast this face down as a 2/2 creature for %3. Turn it face up any time for its morph cost.)#"	
Foul Familiar	DM	C	2B	3/1	Creature - Spirit	"Foul Familiar canﾒt block.
%B, Pay 1 life: Return Foul Familiar to its ownerﾒs hand."	
Foul Familiar	IA	C	2B	3/1	Creature - Spirit	"Foul Familiar canﾒt block.
%B, Pay 1 life: Return Foul Familiar to its ownerﾒs hand."	
Foul Imp	7	U	BB	2/2	Creature - Imp	"Flying
When Foul Imp enters the battlefield, you lose 2 life."	
Foul Imp	SH	C	BB	2/2	Creature - Imp	"Flying
When Foul Imp enters the battlefield, you lose 2 life."	
Foul Imp	9	C	BB	2/2	Creature - Imp	"Flying
When Foul Imp enters the battlefield, you lose 2 life."	
Foul Imp	DDC	C	BB	2/2	Creature - Imp	"Flying
When Foul Imp enters the battlefield, you lose 2 life."	
Foul Spirit	P2	U	2B	3/2	Creature - Spirit	"Flying
When Foul Spirit enters the battlefield, sacrifice a land."	
Foundry Champion	GTC	R	4RW	4/4	Creature - Elemental Soldier	"When Foundry Champion enters the battlefield, it deals damage to target creature or player equal to the number of creatures you control.
%R: Foundry Champion gets +1/+0 until end of turn.
%W: Foundry Champion gets +0/+1 until end of turn."	
Foundry Champion	PRE		4RW	4/4	Creature - Elemental Soldier	"When Foundry Champion enters the battlefield, it deals damage to target creature or player equal to the number of creatures you control.
%R: Foundry Champion gets +1/+0 until end of turn.
%W: Foundry Champion gets +0/+1 until end of turn."	
Foundry Street Denizen	GTC	C	R	1/1	Creature - Goblin Warrior	Whenever another red creature enters the battlefield under your control, Foundry Street Denizen gets +1/+0 until end of turn.	
Fountain Watch	MM	R	3WW	2/4	Creature - Human Cleric	Artifacts and enchantments you control have shroud. #(They canﾒt be the targets of spells or abilities.)#	
Foxfire Oak	SHM	C	5G	3/6	Creature - Treefolk Shaman	%L%L%L: Foxfire Oak gets +3/+0 until end of turn.	
Fraction Jackson	UNH	R	2G	1/1.5	Creature - Human Hero	%G, %T: Return target card with a .5 on it from your graveyard to your hand.	
Frankenstein's Monster	DK	U	XBB	0/1	Creature - Zombie	As Frankensteinﾒs Monster enters the battlefield, exile X creature cards from your graveyard. If you canﾒt, put Frankensteinﾒs Monster into its ownerﾒs graveyard instead of onto the battlefield. For each creature card exiled this way, Frankensteinﾒs Monster enters the battlefield with a +2/+0, +1/+1, or +0/+2 counter on it.	
Frankie Peanuts	UNH	R	2WW	2/3	Legendary Creature - Elephant Rogue	At the beginning of your upkeep, you may ask target player a yes-or-no question. If you do, that player answers the question truthfully and abides by that answer if able until end of turn.	
Frazzled Editor	UNH	C	1R	2/2	Creature - Human Bureaucrat	Protection from wordy #(Something is wordy if it has four or more lines of text in its text box.)#	
Free-Range Chicken	UG	C	3G	3/3	Creature - Chicken	%1%G: Roll two six-sided dice. If both die rolls are the same, Free-Range Chicken gets +X/+X until end of turn, where X is the number rolled on each die. Otherwise, if the total rolled is equal to any other total you have rolled this turn for Free-Range Chicken, sacrifice it. #(For example, if you roll two 3s, Free-Range Chicken gets +3/+3. If you roll a total of 6 for Free-Range Chicken later in that turn, sacrifice it.)#	
Freewind Equenaut	DIS	C	2W	2/2	Creature - Human Archer	"Flying
As long as Freewind Equenaut is enchanted, it has ﾓ%T: Freewind Equenaut deals 2 damage to target attacking or blocking creature.ﾔ"	
Freewind Falcon	AT	C	1W	1/1	Creature - Bird	Flying, protection from red	
Freewind Falcon	VI	C	1W	1/1	Creature - Bird	Flying, protection from red	
Frenetic Efreet	MI	R	1UR	2/1	Creature - Efreet	"Flying
%0: Flip a coin. If you win the flip, Frenetic Efreet phases out. If you lose the flip, sacrifice Frenetic Efreet. #(While itﾒs phased out, itﾒs treated as though it doesnﾒt exist. It phases in before you untap during your next untap step.)#"	
Frenetic Ogre	OD	U	4R	2/3	Creature - Ogre	%R, Discard a card at random: Frenetic Ogre gets +3/+0 until end of turn.	
Frenetic Raptor	LE	U	5R	6/6	Creature - Lizard Beast	Beasts canﾒt block.	
Frenetic Sliver	PLC	U	1UR	2/2	Creature - Sliver	All Slivers have ﾓ%0: If this permanent is on the battlefield, flip a coin. If you win the flip, exile this permanent and return it to the battlefield under its ownerﾒs control at the beginning of the next end step. If you lose the flip, sacrifice it.ﾔ	
Frenzied Goblin	RAV	U	R	1/1	Creature - Goblin Berserker	Whenever Frenzied Goblin attacks, you may pay %R. If you do, target creature canﾒt block this turn.	
Frenzy Sliver	H09	C	1B	1/1	Creature - Sliver	All Sliver creatures have frenzy 1. #(Whenever a Sliver attacks and isnﾒt blocked, it gets +1/+0 until end of turn.)#	
Frenzy Sliver	FUT	C	1B	1/1	Creature - Sliver	All Sliver creatures have frenzy 1. #(Whenever a Sliver attacks and isnﾒt blocked, it gets +1/+0 until end of turn.)#	
Fresh Volunteers	MM	C	1W	2/2	Creature - Human Rebel		Every Cho-Arrim villager is a potential warrior; when they are called, they abandon their peaceful way of life and take up arms to defend it.
Freyalise Supplicant	IA	U	1G	1/1	Creature - Human Cleric	%T, Sacrifice a red or white creature: Freyalise Supplicant deals damage to target creature or player equal to half the sacrificed creatureﾒs power, rounded down.	
Frightcrawler	OD	C	1B	1/1	Creature - Horror	"Fear #(This creature canﾒt be blocked except by artifact creatures and/or black creatures.)#
#Threshold# ﾗ As long as seven or more cards are in your graveyard, Frightcrawler gets +2/+2 and canﾒt block."	
Frightshroud Courier	ON	U	2B	2/1	Creature - Zombie	"You may choose not to untap Frightshroud Courier during your untap step.
%2%B, %T: Target Zombie creature gets +2/+2 and has fear for as long as Frightshroud Courier remains tapped. #(It canﾒt be blocked except by artifact creatures and/or black creatures.)#"	
Frilled Oculus	GTC	C	1U	1/3	Creature - Homunculus	%1%G: Frilled Oculus gets +2/+2 until end of turn. Activate this ability only once each turn.	
Frogmite	DDF	C	4	2/2	Artifact Creature - Frog	Affinity for artifacts #(This spell costs %1 less to cast for each artifact you control.)#	
Frogmite	MR	C	4	2/2	Artifact Creature - Frog	Affinity for artifacts #(This spell costs %1 less to cast for each artifact you control.)#	
Frogtosser Banneret	MOR	C	1B	1/1	Creature - Goblin Rogue	"Haste
Goblin spells and Rogue spells you cast cost %1 less to cast."	
Frontier Guide	ZEN	U	1G	1/1	Creature - Elf Scout	%3%G, %T: Search your library for a basic land card and put it onto the battlefield tapped. Then shuffle your library.	
Frontline Medic	GTC	R	2W	3/3	Creature - Human Cleric	"#Battalion# ﾗ Whenever Frontline Medic and at least two other creatures attack, creatures you control are indestructible this turn.
Sacrifice Frontline Medic: Counter target spell with %X in its mana cost unless its controller pays %3."	
Frontline Sage	CFX	C	2U	0/1	Creature - Human Wizard	"Exalted #(Whenever a creature you control attacks alone, that creature gets +1/+1 until end of turn.)#
%U, %T: Draw a card, then discard a card."	
Frontline Strategist	SC	C	W	1/1	Creature - Human Soldier	"Morph %W #(You may cast this face down as a 2/2 creature for %3. Turn it face up any time for its morph cost.)#
When Frontline Strategist is turned face up, prevent all combat damage non-Soldier creatures would deal this turn."	
Frost Giant	LG	U	3RRR	4/4	Creature - Giant	Rampage 2 #(Whenever this creature becomes blocked, it gets +2/+2 until end of turn for each creature blocking it beyond the first.)#	
Frost Ogre	BOK	C	3RR	5/3	Creature - Ogre Warrior		Mountain ogres allowed blizzards to sheathe them in ice, both to reinforce their armor and to hide their pungent musk from potential prey.
Frost Raptor	CS	C	2U	2/2	Snow Creature - Bird	"Flying
%N%N: Frost Raptor gains shroud until end of turn. #(%N can be paid with one mana from a snow permanent.)#"	
Frost Titan	GAM		4UU	6/6	Creature - Giant	"Whenever Frost Titan becomes the target of a spell or ability an opponent controls, counter that spell or ability unless its controller pays %2.
Whenever Frost Titan enters the battlefield or attacks, tap target permanent. It doesnﾒt untap during its controllerﾒs next untap step."	
Frost Titan	M11	M	4UU	6/6	Creature - Giant	"Whenever Frost Titan becomes the target of a spell or ability an opponent controls, counter that spell or ability unless its controller pays %2.
Whenever Frost Titan enters the battlefield or attacks, tap target permanent. It doesnﾒt untap during its controllerﾒs next untap step."	
Frost Titan	M12	M	4UU	6/6	Creature - Giant	"Whenever Frost Titan becomes the target of a spell or ability an opponent controls, counter that spell or ability unless its controller pays %2.
Whenever Frost Titan enters the battlefield or attacks, tap target permanent. It doesnﾒt untap during its controllerﾒs next untap step."	
Frostburn Weird	RTR	C	%I%I	1/4	Creature - Weird	%I: Frostburn Weird gets +1/-1 until end of turn.	
Frostling	BOK	C	R	1/1	Creature - Spirit	Sacrifice Frostling: Frostling deals 1 damage to target creature.	
Frostweb Spider	CS	C	2G	1/3	Snow Creature - Spider	"Reach #(This creature can block creatures with flying.)#
Whenever Frostweb Spider blocks a creature with flying, put a +1/+1 counter on Frostweb Spider at end of combat."	
Frostwielder	CHK	C	2RR	1/2	Creature - Human Shaman	"%T: Frostwielder deals 1 damage to target creature or player.
If a creature dealt damage by Frostwielder this turn would die, exile it instead."	
Frostwind Invoker	ROE	C	4U	3/3	Creature - Merfolk Wizard	"Flying
%8: Creatures you control gain flying until end of turn."	
Frozen Shade	5	C	2B	0/1	Creature - Shade	%B: Frozen Shade gets +1/+1 until end of turn.	
Frozen Shade	R	C	2B	0/1	Creature - Shade	%B: Frozen Shade gets +1/+1 until end of turn.	
Frozen Shade	B	C	2B	0/1	Creature - Shade	%B: Frozen Shade gets +1/+1 until end of turn.	
Frozen Shade	A	C	2B	0/1	Creature - Shade	%B: Frozen Shade gets +1/+1 until end of turn.	
Frozen Shade	4	C	2B	0/1	Creature - Shade	%B: Frozen Shade gets +1/+1 until end of turn.	
Frozen Shade	U	C	2B	0/1	Creature - Shade	%B: Frozen Shade gets +1/+1 until end of turn.	
Fruitcake Elemental	HHL		1GG	7/7	Creature - Elemental	"Fruitcake Elemental is indestructible.
At the end of your turn, Fruitcake Elemental deals 7 damage to you.
%3: Target player gains control of Fruitcake Elemental."	
Fugitive Druid	TE	R	3G	3/2	Creature - Human Druid	Whenever Fugitive Druid becomes the target of an Aura spell, you draw a card.	
Fugitive Wizard	8	C	U	1/1	Creature - Human Wizard		The College of Lat-Nam is often forced to expel students whose experiments grow too risky or too cruel.
Fugitive Wizard	LE	C	U	1/1	Creature - Human Wizard		Many wizards came to the Riptide Project hoping to return home with answers. Most, however, wouldnﾒt return home at all.
Fugitive Wizard	10	C	U	1/1	Creature - Human Wizard		"ﾓThe law has its placeﾗas a footnote in my spellbook.ﾔ
ﾗSiyani, fugitive mage"
Fugitive Wizard	9	C	U	1/1	Creature - Human Wizard		The College of Lat-Nam is often forced to expel students whose experiments grow too risky or too cruel.
Fulminator Mage	SHM	R	1%K%K	2/2	Creature - Elemental Shaman	Sacrifice Fulminator Mage: Destroy target nonbasic land.	
Fume Spitter	SOM	C	B	1/1	Creature - Horror	Sacrifice Fume Spitter: Put a -1/-1 counter on target creature.	
Fumiko the Lowblood	BOK	R	2RR	3/2	Legendary Creature - Human Samurai	"Fumiko the Lowblood has bushido X, where X is the number of attacking creatures. #(When this blocks or becomes blocked, it gets +X/+X until end of turn.)#
Creatures your opponents control attack each turn if able."	
Fungal Behemoth	PLC	R	3G	*/*	Creature - Fungus	"Fungal Behemothﾒs power and toughness are each equal to the number of +1/+1 counters on creatures you control.
Suspend Xﾗ%X%G%G. X canﾒt be 0. #(Rather than cast this card from your hand, you may pay %X%G%G and exile it with X time counters on it. At the beginning of your upkeep, remove a time counter. When the last is removed, cast it without paying its mana cost. It has haste.)#
Whenever a time counter is removed from Fungal Behemoth while itﾒs exiled, you may put a +1/+1 counter on target creature."	
Fungal Shambler	AP	R	4GUB	6/4	Creature - Fungus Beast	"Trample
Whenever Fungal Shambler deals damage to an opponent, you draw a card and that opponent discards a card."	
Fungus Elemental	WL	R	3G	3/3	Creature - Fungus Elemental	%G, Sacrifice a Forest: Put a +2/+2 counter on Fungus Elemental. Activate this ability only if Fungus Elemental entered the battlefield this turn.	
Fungus Sliver	TSP	R	3G	2/2	Creature - Fungus Sliver	All Sliver creatures have ﾓWhenever this creature is dealt damage, put a +1/+1 counter on it.ﾔ #(The damage is dealt before the counter is put on.)#	
Fungus Sliver	H09	R	3G	2/2	Creature - Fungus Sliver	All Sliver creatures have ﾓWhenever this creature is dealt damage, put a +1/+1 counter on it.ﾔ #(The damage is dealt before the counter is put on.)#	
Fungusaur	B	R	3G	2/2	Creature - Fungus Lizard	Whenever Fungusaur is dealt damage, put a +1/+1 counter on it.	
Fungusaur	A	R	3G	2/2	Creature - Fungus Lizard	Whenever Fungusaur is dealt damage, put a +1/+1 counter on it.	
Fungusaur	8	R	3G	2/2	Creature - Fungus Lizard	Whenever Fungusaur is dealt damage, put a +1/+1 counter on it.	
Fungusaur	4	R	3G	2/2	Creature - Fungus Lizard	Whenever Fungusaur is dealt damage, put a +1/+1 counter on it.	
Fungusaur	R	R	3G	2/2	Creature - Fungus Lizard	Whenever Fungusaur is dealt damage, put a +1/+1 counter on it.	
Fungusaur	5	R	3G	2/2	Creature - Fungus Lizard	Whenever Fungusaur is dealt damage, put a +1/+1 counter on it.	
Fungusaur	U	R	3G	2/2	Creature - Fungus Lizard	Whenever Fungusaur is dealt damage, put a +1/+1 counter on it.	
Furnace Brood	EX	C	3R	3/3	Creature - Elemental	%R: Target creature canﾒt be regenerated this turn.	
Furnace Dragon	DS	R	6RRR	5/5	Creature - Dragon	"Affinity for artifacts #(This spell costs %1 less to cast for each artifact you control.)#
Flying
When Furnace Dragon enters the battlefield, if you cast it from your hand, exile all artifacts."	
Furnace Scamp	NPH	C	R	1/1	Creature - Beast	Whenever Furnace Scamp deals combat damage to a player, you may sacrifice it. If you do, Furnace Scamp deals 3 damage to that player.	
Furnace Spirit	SH	C	2R	1/1	Creature - Spirit	"Haste
%R: Furnace Spirit gets +1/+0 until end of turn."	
Furnace Whelp	ARC	U	2RR	2/2	Creature - Dragon	"Flying
%R: Furnace Whelp gets +1/+0 until end of turn."	
Furnace Whelp	M13	U	2RR	2/2	Creature - Dragon	"Flying
%R: Furnace Whelp gets +1/+0 until end of turn."	
Furnace Whelp	DD2	U	2RR	2/2	Creature - Dragon	"Flying
%R: Furnace Whelp gets +1/+0 until end of turn."	
Furnace Whelp	10	U	2RR	2/2	Creature - Dragon	"Flying
%R: Furnace Whelp gets +1/+0 until end of turn."	
Furnace Whelp	CMD	U	2RR	2/2	Creature - Dragon	"Flying
%R: Furnace Whelp gets +1/+0 until end of turn."	
Furnace Whelp	FD	U	2RR	2/2	Creature - Dragon	"Flying
%R: Furnace Whelp gets +1/+0 until end of turn."	
Fury Sliver	H09	U	5R	3/3	Creature - Sliver	All Sliver creatures have double strike.	
Fury Sliver	TSP	U	5R	3/3	Creature - Sliver	All Sliver creatures have double strike.	
Furyborn Hellkite	M12	M	4RRR	6/6	Creature - Dragon	"Bloodthirst 6 #(If an opponent was dealt damage this turn, this creature enters the battlefield with six +1/+1 counters on it.)#
Flying"	
Furystoke Giant	SHM	R	3RR	3/3	Creature - Giant Warrior	"When Furystoke Giant enters the battlefield, other creatures you control gain ﾓ%T: This creature deals 2 damage to target creature or playerﾔ until end of turn.
Persist #(When this creature dies, if it had no -1/-1 counters on it, return it to the battlefield under its ownerﾒs control with a -1/-1 counter on it.)#"	
Fusion Elemental	CFX	U	WUBRG	8/8	Creature - Elemental		As the shards merged into the Maelstrom, their mana energies fused into new monstrosities.
Fusion Elemental	PC2	U	WUBRG	8/8	Creature - Elemental		As the shards merged into the Maelstrom, their mana energies fused into new monstrosities.
Fylamarid	TE	U	1UU	1/3	Creature - Squid Beast	"Flying
Fylamarid canﾒt be blocked by blue creatures.
%U: Target creature becomes blue until end of turn."	
Fyndhorn Brownie	6	C	2G	1/1	Creature - Ouphe	%2%G, %T: Untap target creature.	
Fyndhorn Brownie	IA	C	2G	1/1	Creature - Ouphe	%2%G, %T: Untap target creature.	
Fyndhorn Druid (1)	AL	C	2G	2/2	Creature - Elf Druid	When Fyndhorn Druid dies, if it was blocked this turn, you gain 4 life.	
Fyndhorn Druid (2)	AL	C	2G	2/2	Creature - Elf Druid	When Fyndhorn Druid dies, if it was blocked this turn, you gain 4 life.	
Fyndhorn Elder	5	U	2G	1/1	Creature - Elf Druid	%T: Add %G%G to your mana pool.	
Fyndhorn Elder	7	U	2G	1/1	Creature - Elf Druid	%T: Add %G%G to your mana pool.	
Fyndhorn Elder	6	U	2G	1/1	Creature - Elf Druid	%T: Add %G%G to your mana pool.	
Fyndhorn Elder	IA	U	2G	1/1	Creature - Elf Druid	%T: Add %G%G to your mana pool.	
Fyndhorn Elder	8	U	2G	1/1	Creature - Elf Druid	%T: Add %G%G to your mana pool.	
Fyndhorn Elves	DM	C	G	1/1	Creature - Elf Druid	%T: Add %G to your mana pool.	
Fyndhorn Elves	IA	C	G	1/1	Creature - Elf Druid	%T: Add %G to your mana pool.	
Gabriel Angelfire	CH	U	3GGWW	4/4	Legendary Creature - Angel	At the beginning of your upkeep, choose flying, first strike, trample, or rampage 3. Gabriel Angelfire gains that ability until your next upkeep. #(Whenever a creature with rampage 3 becomes blocked, it gets +3/+3 until end of turn for each creature blocking it beyond the first.)#	
Gabriel Angelfire	LG	R	3GGWW	4/4	Legendary Creature - Angel	At the beginning of your upkeep, choose flying, first strike, trample, or rampage 3. Gabriel Angelfire gains that ability until your next upkeep. #(Whenever a creature with rampage 3 becomes blocked, it gets +3/+3 until end of turn for each creature blocking it beyond the first.)#	
Gaddock Teeg	LRW	R	GW	2/2	Legendary Creature - Kithkin Advisor	"Noncreature spells with converted mana cost 4 or greater canﾒt be cast.
Noncreature spells with %X in their mana costs canﾒt be cast."	
Gaea's Herald	DPA	R	1G	1/1	Creature - Elf	Creature spells canﾒt be countered.	
Gaea's Herald	PS	R	1G	1/1	Creature - Elf	Creature spells canﾒt be countered.	
Gaea's Herald	8	R	1G	1/1	Creature - Elf	Creature spells canﾒt be countered.	
Gaea's Herald	10	R	1G	1/1	Creature - Elf	Creature spells canﾒt be countered.	
Gaea's Liege	4	R	3GGG	*/*	Creature - Avatar	"As long as Gaeaﾒs Liege isnﾒt attacking, its power and toughness are each equal to the number of Forests you control. As long as Gaeaﾒs Liege is attacking, its power and toughness are each equal to the number of Forests defending player controls.
%T: Target land becomes a Forest until Gaeaﾒs Liege leaves the battlefield."	
Gaea's Liege	A	R	3GGG	*/*	Creature - Avatar	"As long as Gaeaﾒs Liege isnﾒt attacking, its power and toughness are each equal to the number of Forests you control. As long as Gaeaﾒs Liege is attacking, its power and toughness are each equal to the number of Forests defending player controls.
%T: Target land becomes a Forest until Gaeaﾒs Liege leaves the battlefield."	
Gaea's Liege	TSB	R	3GGG	*/*	Creature - Avatar	"As long as Gaeaﾒs Liege isnﾒt attacking, its power and toughness are each equal to the number of Forests you control. As long as Gaeaﾒs Liege is attacking, its power and toughness are each equal to the number of Forests defending player controls.
%T: Target land becomes a Forest until Gaeaﾒs Liege leaves the battlefield."	
